question,option0,option1,option2,option3,correctAnswer,level,audio
ලංකාව පාලනය කළ රජෙකු නොවූයේ මේ අතරින් කවු ද?,ඔස්ට්‍රියාවේ දොන් ජුවන්,කාලිංග දේශයේ මාඝ,එංගලන්තයේ හයවන ජෝජ්,දකුණු ඉන්දියාවේ මුත්තුසාමි,3,8,
ජෙෆ්රි හින්ටන් පිළිබඳ වැරදි ප්‍රකාශය කුමක් ද?,කෘත්‍රිම බුද්ධියේ පියා ලෙස හඳුන්වයි,ගූගල් සමාගමේ උපදේශකවරයෙකු ලෙස වර්තමානයේ කටයුතු කරයි,මනෝ විද්‍යාඥයෙකි,පරිගණක විද්‍යාඥයෙකි,1,9,
"නාසි සිරකඳවුරක සිටින සිරකරුවන් බේරා ගැනීම සඳහා, නාසි සාමාජිකයෙක් ක්‍රියා කිරීම පදනම් කරගත් ඇකඩමි සම්මාන දිනූ චිත්‍රපටය කුමක් ද?",SCHINDLER'S LIST,SAVING PRIVATE RYAN,INGLOURIOUS BASTERDS,BOY IN THE STRIPED PAJAMAS,0,10,
"""බුද්ධරක්ඛිතට එදිරිව රැජිණ"" නඩුවට පාදක වූ ඝාතන සිදුවීමට අදාළ වන පුද්ගලයෙකු වන්නේ කවු ද?",ඇඩ්ලින් විතාරණ,මහාදේවන් සතාසිවම්,මැතිව් පීරිස්,එස්.ඩබ්.ආර්.ඩී. බණ්ඩාරනායක,3,11,
"""I hate war"" මෙම ප්‍රකාශය කළේ කවරෙක් ද?",ජො'න් එෆ' කෙනඩි,ෆ්‍රෑන්ක්ලින් ඩී රූස්වෙල්ට්,හැරී එස් ටෲමන්,ඩ්වයිට් ඩී අයිසන්හවර්,1,12,
දෙවන ලෝක යුද්ධය හා සම්බන්ධයක් නොමැති සිදුවීම කුමක් ද?,ෆ්‍රාන්ස් ෆර්ඩිනන්ඩ් ආදිපාදවරයා ඝාතනය,නාසි හමුදා පොලන්තය ආක්‍රමණය,ගුවර්නිකා සංහාරය,පර්ල් වරායට බො'ම්බ දැමීම,0,12,
"ඇම්බැක්කේ වර්ණනාවට අනුව, ඇම්බැක්ක දේවාලය පිහිටා ඇත්තේ කවරකුගේ මල්වත්තේ ද?",දෙවැනි වික්‍රමබාහු රජුගේ,රංගම වාසී බෙරයවයන්නකුගේ,කතරගම දෙවියන්ගේ,සෙනකඳ බිසො' බණ්ඩාර දේවියගේ,3,13,
ඔබ කොළඹ ගාලුමුවදොරින් පටන්ගෙන රට වටේ වෙරළ දිගේ ඇවිදගොස් නැවත ගාලුමුවදොරට එන්නේ ආසන්නව කිලෝමීටර් කීයක් පසුකරමින් ද?,432,832,1340,2420,2,14,
පිදුරුතලාගලට වඩා උස කන්දක් දක්නට ලැබෙන්නේ මින් කවර රටක ද?,ප්‍රංශය,එංගලන්තය,බෙල්ජියම,නෙදර්ලන්තය,0,15,
ජනවහරට අනුව රයිගමයයි ගම්පලයයි යනු?,සහොදරයින් දෙදෙනෙකි,යහළුවන් දෙදෙනෙකි,ගුරුවරුන් දෙදෙනෙකි,එකම පවුලේ සාමාජිකයින් දෙදෙනෙකි,1,1,
"රු.50,000ක වැටුපක් ලබන්නේකුගෙන් 8% ක් අර්ථසාධක අරමුදල වෙනුවෙන් බැර වුනි නම් ඉතිරි වන්නේ කීය ද?","රු.42,000","රු.44,000","රු.46,000","රු.48,000",2,2,
ලකුණක් ලබාගැනීමට බෝලයක් අතින් දැලක් තුලට දැමිය යුත්තේ කිනම් ක්‍රීඩාවේදී ද?,හොකී,වොලිබො'ල්,පැසිපන්දු,රගර්,2,3,
"ඉහළ ආකාසයේ පියාඹමින් සිටි පක්ෂියෙක්ගෙන් පිහාටුවක් ගිලිහුණි නම්, පිහාටුවේ අයිතිකාරයා විය හැක්කේ කවු ද?",පෙන්ගුයින්,කිවි,ඔස්ට්‍රිච්,ෆැල්කන්,3,4,
"""ලඹ කැටයේ අත්වාරුව - බිත්ති දිගේ නගින්නේ බිත්තිය ඉහළට යනකොට අපි පොඩියට පෙනෙන්නේ"" මෙසේ කියන්නේ කවුරුන් විය හැකි ද?",පෙදරේරුවෙක්,වඩුවෙක්,රියදුරෙක්,කුඹල්කරුවෙක්,0,5,
මේ අතරින් නොගැළපෙන්නේ මොනවා ද?,පලු,මොර,දං,අමු,3,6,
ගොලීය උණුසුම ඉහළයාමට බලපාන ස්වාභාවික හේතුවක් වන්නේ කුමක් ද?,පොසිල ඉන්ධන දහනය,වනාන්තර ගිනිතැබීම,ගිනිකඳු පිපිරීම,න්‍යෂ්ටික අත්හදා බැලීම්,2,7,
යුක්‍රේනය පිළිබඳ වැරදි ප්‍රකාශය මින් කුමක් ද?,බෙලරුස් වලට මායිම් වේ,තූර්කියට මායිම් වේ,පෝලන්තයට මායිම් වේ,රොමේනියාවට මායිම් වේ,1,8,
කඩදාසියක ලියා කණ්ණාඩියක් ඉදිරියට ගෙනගිය විට වෙනසක් දැකිය නොහැකි මින් කුමන අකුරේ ද?,Q,Y,L,S,1,1,
"නෙළුම් කයියක දී,",වී යහන් කරයි,කුඹුර මඩකරයි,වී වපුරයි,ගොයම් නෙළයි,3,2,
"කෑම වට්ටෝරුවකට අනුව කිලෝ එකක් බර කේක් ගෙඩියක් සෑදීමට සීනි කො'ප්ප 3/4ක් අවශ්‍ය වූයේනම්, ග්‍රෑම් 500ක් බර කේක් ගෙඩියක් සෑදීමට අවශ්‍ය සීනි ප්‍රමාණය කොපමණ ද?",කො'ප්ප 1/4,කොප්ප 3/8,කො'ප්ප 9/12,කො'ප්ප 8/16,1,3,
"""ගලවන්නට බැරි හදා - පාලා වාදය එදා - දෙන්න දෙකොණට ඇදා - කැඩුණි කෙක්කක් එදා"" මෙසේ ගැයෙන්නේ කුමන ජනක්‍රීඩාවක දී ද?",එළුවන් කෑමේදී,මේවර කෙළියේදී,අං ඇදීමේදී,පංච දැමීමේදී,2,4,
හිවලාවල සිට අලුත් නෑකම් ඇති කරගැනීමට කුකුළාගමට ගිය නඩයක් හමුවන්නේ මින් කුමන කෘතියක ද?,නරි උගුල,මඟුල් කෑම,හීන්සැරය,දුවන රැවුල,1,5,
"අතීතයේ විවිධ රටවලින් පැමිණි නැව් වලින් පිරී තිබූ බව කියැවෙන මහාතිත්ථ වරාය,",මන්නාරම දිස්ත්‍රික්කයේ පිහිටයි,ත්‍රිකුණාමල දිස්ත්‍රික්කයේ පිහිටයි,යාපනය දිස්ත්‍රික්කයේ පිහිටයි,ගාල්ල දිස්ත්‍රික්කයේ පිහිටයි,0,6,
2023 වසරේදී පැවැත්වීමට නියමිත ක්‍රීඩා තරඟාවලියක් නොවන්නේ මින් කුමක් ද?,රග්බි ලෝක කුසලානය,එක්දින ක්‍රිකට් ලෝක කුසලානය,කාන්තා පාපන්දු ලොක කුසලානය,20-20 ක්‍රිකට් ලෝක කුසලානය,3,7,
මේ අතරින් පළමු පරාක්‍රමබාහුගේ ඥාතීත්වය අනූව නොගැළපෙන්නේ කවු ද?,රත්නාවලී බිසව,ලීලාවතී රැජිණ,භද්‍රාවතී දේවිය,රූපාවතී දේවිය,0,8,
"""බඹර ගලේ බඹර ගලේ බඹර බඳිනවා, බඹර ගලේ බඹර සුවඳ ගෙටම වඩිනවා"" මෙහි ""බ"" යනු කීය ද?",5,6,10,11,1,1,
නංගි අවදි වීමට පැයකට කලින් අයියා අවදිවේ අයියා අවදි වීමට මිනිත්තු පනහකට කලින් අම්මා අවදි වෙයි නංගි අවදි වූයේ පෙරවරු හයට නම් අම්මා අවදි වූයේ කීයටද?,පෙ.ව. 4.00 ට,පෙ.ව. 4.05 ට,පෙ.ව. 4.10 ට,පෙ.ව. 4.20 ට,2,2,
